rate_date close open high low change_percent
2018-8-20	6.8623	6.8776	6.8791	6.8472	-0.22
2018-8-19	6.8776	6.8776	6.8776	6.8776	0.00
2018-8-17	6.8775	6.8687	6.8967	6.8687	-0.07
2018-8-16	6.8825	6.9227	6.9227	6.8816	-0.75
2018-8-15	6.9348	6.8921	6.9348	6.8877	0.74
2018-8-14	6.8842	6.8872	6.8972	6.8799	-0.10
2018-8-13	6.8913	6.8762	6.8914	6.87	0.64
2018-8-12	6.8472	6.8455	6.8473	6.8455	0.00
2018-8-10	6.8472	6.836	6.8609	6.8308	0.38
2018-8-9	6.821	6.8276	6.8381	6.813	-0.22
2018-8-8	6.8357	6.8067	6.8414	6.8002	0.06
2018-8-7	6.8318	6.851	6.8658	6.8223	-0.32
2018-8-6	6.8535	6.8276	6.8541	6.801	0.28
2018-8-5	6.8342	6.8298	6.8352	6.8298	0.01
2018-8-3	6.8332	6.8584	6.8949	6.8332	-0.14
2018-8-2	6.8428	6.8094	6.8514	6.8093	0.29
2018-8-1	6.8227	6.8294	6.8369	6.7957	0.15
2018-7-31	6.8127	6.8349	6.845	6.8127	-0.03
2018-7-30	6.815	6.8208	6.8437	6.815	0.02
2018-7-29	6.8137	6.8137	6.8137	6.8137	0.00
2018-7-27	6.8137	6.808	6.8409	6.8018	0.31
2018-7-26	6.7927	6.7424	6.7958	6.7423	0.34
2018-7-25	6.7697	6.7951	6.8088	6.7573	-0.32
2018-7-24	6.7915	6.8145	6.8248	6.7914	-0.02
2018-7-23	6.793	6.7535	6.7965	6.7404	0.50
2018-7-22	6.7592	6.7705	6.7705	6.7567	-0.17
2018-7-20	6.7709	6.779	6.8155	6.7699	-0.06
2018-7-19	6.7751	6.7249	6.7881	6.7242	0.83
2018-7-18	6.7196	6.7065	6.7233	6.6986	0.20
2018-7-17	6.7065	6.6931	6.7081	6.676	0.23
2018-7-16	6.6911	6.6919	6.7087	6.6751	-0.07
2018-7-15	6.6956	6.6882	6.6964	6.6882	0.06
2018-7-13	6.6917	6.6578	6.7054	6.6525	0.36
2018-7-12	6.6677	6.7023	6.7063	6.6634	-0.20
2018-7-11	6.6812	6.6734	6.6832	6.6563	0.77
2018-7-10	6.6299	6.5983	6.6353	6.5983	0.21
2018-7-9	6.6161	6.6429	6.6444	6.6135	-0.37
2018-7-8	6.6406	6.6425	6.6452	6.6389	-0.05
2018-7-6	6.6436	6.638	6.6685	6.638	0.10
2018-7-5	6.6371	6.6299	6.6478	6.6299	0.07
2018-7-4	6.6325	6.6403	6.6403	6.604	-0.15
2018-7-3	6.6425	6.7089	6.7225	6.641	-0.38
2018-7-2	6.668	6.6317	6.6681	6.6311	0.64
2018-7-1	6.6253	6.6225	6.6319	6.6225	0.06
2018-6-29	6.621	6.6305	6.6429	6.6085	-0.09
2018-6-28	6.627	6.6181	6.6335	6.609	0.34
2018-6-27	6.6047	6.5858	6.62	6.5858	0.39
2018-6-26	6.5793	6.5373	6.5818	6.5369	0.60
2018-6-25	6.54	6.5039	6.5474	6.5039	0.53
2018-6-24	6.5053	6.5052	6.5054	6.4991	-0.01
2018-6-22	6.5058	6.4947	6.5098	6.4947	0.19
2018-6-21	6.4932	6.482	6.5094	6.482	0.30
2018-6-20	6.4737	6.4654	6.4812	6.4654	-0.18
2018-6-19	6.4852	6.4428	6.4853	6.4428	0.71
2018-6-18	6.4394	6.4394	6.4394	6.4394	0.08
2018-6-17	6.434	6.4375	6.4375	6.4339	-0.08
2018-6-15	6.4394	6.4195	6.4394	6.4131	0.59
2018-6-14	6.4017	6.3986	6.4048	6.3929	0.05
2018-6-13	6.3983	6.4134	6.414	6.3968	-0.07
2018-6-12	6.4028	6.4111	6.4123	6.4023	0.02
2018-6-11	6.4017	6.4067	6.4101	6.4013	-0.08
2018-6-10	6.4067	6.4009	6.4068	6.4009	0.00
2018-6-8	6.4066	6.4005	6.4149	6.4005	0.23
2018-6-7	6.3921	6.3899	6.3987	6.3898	0.06
2018-6-6	6.3884	6.4072	6.4072	6.3862	-0.28
2018-6-5	6.4061	6.4065	6.4145	6.4001	-0.06
2018-6-4	6.41	6.423	6.4279	6.4062	-0.16
2018-6-3	6.4204	6.4204	6.4204	6.4204	0.00
2018-6-1	6.4204	6.4098	6.4217	6.4095	0.16
2018-5-31	6.4103	6.4174	6.4175	6.3995	-0.14
2018-5-30	6.419	6.4207	6.4345	6.4161	0.02
2018-5-29	6.4176	6.4088	6.423	6.4047	0.29
2018-5-28	6.3993	6.3892	6.4006	6.3887	0.46
2018-5-27	6.3698	6.3884	6.3884	6.3681	-0.34
2018-5-25	6.3918	6.3883	6.3929	6.3849	0.21
2018-5-24	6.3783	6.3896	6.3972	6.3773	-0.16
2018-5-23	6.3885	6.3695	6.3913	6.3695	0.33
2018-5-22	6.3675	6.375	6.3793	6.3657	-0.25
2018-5-21	6.3835	6.3797	6.3947	6.3775	0.05
2018-5-18	6.38	6.373	6.3817	6.3691	0.20
2018-5-17	6.3671	6.3723	6.3723	6.3574	-0.07
2018-5-16	6.3715	6.3766	6.3804	6.3647	-0.10
2018-5-15	6.3777	6.3422	6.3804	6.3422	0.61
2018-5-14	6.3392	6.3338	6.3438	6.3338	0.08
2018-5-11	6.3341	6.3376	6.3491	6.3255	-0.24
2018-5-10	6.3492	6.373	6.3742	6.3448	-0.21
2018-5-9	6.3624	6.3784	6.3861	6.3606	-0.13
2018-5-8	6.3707	6.3647	6.3708	6.3605	0.06
2018-5-7	6.3667	6.3528	6.3693	6.3487	0.06
2018-5-4	6.3627	6.3482	6.3669	6.3449	0.14
2018-5-3	6.3537	6.3633	6.3712	6.3472	-0.14
2018-5-2	6.3624	6.354	6.3659	6.354	0.46
2018-5-1	6.3332	6.3332	6.3332	6.3332	0.00
2018-4-30	6.3332	6.3332	6.3332	6.3332	0.00
2018-4-27	6.3332	6.3368	6.3472	6.3281	-0.05
2018-4-26	6.3365	6.3273	6.3369	6.3213	0.16
